Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
beurre-rochefort-sale-250g,Beurre Rochefort Salé 250g,"<p>Véritable beurre fermier Rochefort salé, à la texture crémeuse et au goût authentique. Fabriqué en Belgique.</p>",Rochefort,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/150.png?v=1785678817,1,Beurre Rochefort Salé 250g,false,,,,kg,,,active
beurre-rochefort-nature-250g,Beurre Rochefort Nature 250g,"<p>Véritable beurre fermier Rochefort, non salé, à la texture crémeuse et au goût authentique. Fabriqué en Belgique.</p>",Rochefort,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/149.png?v=1785678817,1,Beurre Rochefort Nature 250g,false,,,,kg,,,active
saumon-atlantique-fume-everyday,Saumon Atlantique Fumé Everyday,"<p>Saumon Atlantique fumé, origine Norvège, présenté en 5 à 8 tranches prêtes à consommer. Parfait à l'apéritif, en entrée ou sur toast.</p>",Everyday,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/148.png?v=1785678817,1,Saumon Atlantique Fumé Everyday,false,,,,kg,,,active
boni-lait-entier-50cl,Boni Lait Entier 50cl,"<p>Lait entier Boni, produit à partir de lait de vaches belges. Riche et onctueux, idéal pour toute la famille.</p>",Boni,"Alimentation, boissons et tabac > Aliments > Produits laitiers > Lait","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/147.png?v=1785678816,1,Boni Lait Entier 50cl,false,,,,kg,,,active
dash-couleurs-eclatantes-xl,Dash Couleurs Éclatantes XL Pack (50 lavages),"<p>Lessive liquide Dash Couleurs Éclatantes, formule qui protège et ravive les couleurs de votre linge. Grand format XL de 50 lavages.</p>",Dash,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/146.png?v=1785678817,1,Dash Couleurs Éclatantes XL Pack (50 lavages),false,,,,kg,,,active
persil-color-deep-clean,Persil Color Deep Clean Lessive Liquide,"<p>Lessive liquide Persil Color Deep Clean, spécialement conçue pour préserver l'éclat des couleurs tout en éliminant les taches tenaces.</p>",Persil,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/145.png?v=1785678817,1,Persil Color Deep Clean Lessive Liquide,false,,,,kg,,,active
persil-expert-freshness-deep-clean,Persil Expert Freshness Deep Clean Lessive Liquide (27 lavages),"<p>Lessive liquide Persil Expert Freshness Deep Clean avec Silan, élimine les taches tenaces et laisse une fraîcheur qui dure jusqu'à 30 jours. 27 lavages.</p>",Persil,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/144.png?v=1785678817,1,Persil Expert Freshness Deep Clean Lessive Liquide (27 lavages),false,,,,kg,,,active
ajax-fete-des-fleurs-fleur-de-laurier,"Ajax Fête des Fleurs Fleurs de Laurier 1,25L","<p>Nettoyant sol et multi-surfaces Ajax Fête des Fleurs au parfum floral turquoise, pour une maison fraîche et parfumée jusqu'à 24h.</p>",Ajax,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/143.png?v=1785678817,1,"Ajax Fête des Fleurs Fleurs de Laurier 1,25L",false,,,,kg,,,active
ajax-fete-des-fleurs-peche,"Ajax Fête des Fleurs Pêche & Fleur de Pêcher 1,25L","<p>Nettoyant sol et multi-surfaces Ajax Fête des Fleurs au parfum Pêche &amp; Fleur de Pêcher, fraîcheur intense et parfum longue durée jusqu'à 24h.</p>",Ajax,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/142.png?v=1785678816,1,"Ajax Fête des Fleurs Pêche & Fleur de Pêcher 1,25L",false,,,,kg,,,active
dash-plus-blanc-que-blanc-lessive-liquide,Dash Plus Blanc que Blanc Lessive Liquide (50 lavages),"<p>Lessive liquide Dash Plus Blanc que Blanc, formulée pour un blanc éclatant lavage après lavage. Flacon grand format de 50 lavages.</p>",Dash,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/141.png?v=1785678817,1,Dash Plus Blanc que Blanc Lessive Liquide (50 lavages),false,,,,kg,,,active
ajax-fete-des-fleurs-muguet,"Ajax Fête des Fleurs Muguet 1,25L","<p>Nettoyant sol et multi-surfaces Ajax Fête des Fleurs au parfum Muguet, pour une fraîcheur intense qui dure jusqu'à 24h. Idéal pour un intérieur propre et parfumé.</p>",Ajax,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/140.png?v=1785678817,1,"Ajax Fête des Fleurs Muguet 1,25L",false,,,,kg,,,active
ajax-fete-des-fleurs-coquelicot,"Ajax Fête des Fleurs Coquelicot 1,25L","<p>Nettoyant sol et multi-surfaces Ajax Fête des Fleurs au parfum Coquelicot, pour une fraîcheur intense qui dure jusqu'à 24h. Élimine efficacement la saleté du quotidien.</p>",Ajax,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/139.png?v=1785678817,1,"Ajax Fête des Fleurs Coquelicot 1,25L",false,,,,kg,,,active
citron,Citron,"",My Store,"Alimentation, boissons et tabac > Aliments > Fruits et légumes > Fruits frais et surgelés > Agrumes > Citrons","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,6.50,,true,true,1000.0,g,1,kg,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/Citron.png?v=1783951553,1,"",false,,,,kg,,,active
olive-voilette,Olive voilette,"",My Store,"Alimentation, boissons et tabac > Aliments > Sauces et condiments > Olives et câpres > Olives","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,6.50,,true,true,1000.0,g,1,kg,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/Olivevoilette.png?v=1783951540,1,"",false,,,,kg,,,active
olive-verte-piquante-casse,Olive verte piquante cassé,"",My Store,"Alimentation, boissons et tabac > Aliments > Sauces et condiments > Olives et câpres > Olives","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,6.50,,true,true,1000.0,g,1,kg,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/Olivevertepiquantecasse.png?v=1783951531,1,"",false,,,,kg,,,active
olive-vert-rondelles,Olive vert rondelles,"",My Store,"Alimentation, boissons et tabac > Aliments > Sauces et condiments > Olives et câpres > Olives","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,6.50,,true,true,1000.0,g,1,kg,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/Olivevertrondelles.png?v=1783951522,1,"",false,,,,kg,,,active
olive-vert-piquant-denoyaute,Olive  vert piquant dénoyauté,"",My Store,"Alimentation, boissons et tabac > Aliments > Sauces et condiments > Olives et câpres > Olives","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,6.50,,true,true,1000.0,g,1,kg,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/Olivevertpiquantdenoyaute.png?v=1783951598,1,"",false,,,,kg,,,active
olive-vert-casse-avec-ail,Olive vert  cassé avec ail,"",My Store,"Alimentation, boissons et tabac > Aliments > Sauces et condiments > Olives et câpres > Olives","","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,6.50,,true,true,1000.0,g,1,kg,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/Olivevertcasseavecail.png?v=1783951509,1,"",false,,,,kg,,,active
olive-vert-denoyaute,Olive  vert  dénoyauté,"",My Store,"Alimentation, boissons et tabac > Aliments > Sauces et condiments > Olives et câpres > Olives","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,6.50,,true,false,1000.0,g,1,kg,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/Olivevertdenoyaute.png?v=1783951594,1,"",false,,,,kg,,,active
olive-barbecue,Olive  barbecue,"",My Store,"Alimentation, boissons et tabac > Aliments > Sauces et condiments > Olives et câpres > Olives","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,6.50,,true,true,1000.0,g,1,kg,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/Olivebarbecue.png?v=1783951578,1,"",false,,,,kg,,,active
olive-noir-facon-grecque,Olive noir façon grecque,"",My Store,"Alimentation, boissons et tabac > Aliments > Sauces et condiments > Olives et câpres > Olives","","",true,POIDS,100g,,,,,,,,,0.0,,0,deny,manual,0.70,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/Olivenoirfacongrecque.png?v=1783951384,1,"",false,,,,kg,,,active
olive-noir-facon-grecque,,,,,,,,,250g,,,,,,,,,0.0,,0,deny,manual,1.75,,true,false,,,,,,,,,,,,,kg,,,
olive-noir-facon-grecque,,,,,,,,,500g,,,,,,,,,0.0,,0,deny,manual,3.50,,true,false,,,,,,,,,,,,,kg,,,
olive-noir-facon-grecque,,,,,,,,,750g,,,,,,,,,0.0,,0,deny,manual,5.25,,true,false,,,,,,,,,,,,,kg,,,
olive-noir-facon-grecque,,,,,,,,,1kg,,,,,,,,,0.0,,0,deny,manual,7.00,,true,false,,,,,,,,,,,,,kg,,,
olive-noir-facon-grecque,,,,,,,,,1.5kg,,,,,,,,,0.0,,0,deny,manual,10.50,,true,false,,,,,,,,,,,,,kg,,,
olive-noir-facon-grecque,,,,,,,,,2kg,,,,,,,,,0.0,,0,deny,manual,14.00,,true,false,,,,,,,,,,,,,kg,,,
pommes-de-terre-a-chair-ferme-sac-2-5-kg,"Pommes de Terre à Chair Ferme (Sac 2,5 kg)","",My Store,"Alimentation, boissons et tabac > Aliments > Fruits et légumes > Légumes frais et surgelés > Pommes de terre","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/500.png?v=1783948935,1,"",false,,,,kg,,,active
pommes-de-terre-a-chair-ferme-sac-2-5-kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/501.png?v=1783948934,2,"",,,,,,,,
tomates-cerises-en-grappe,Tomates Cerises en Grappe,"",My Store,"Alimentation, boissons et tabac > Aliments > Fruits et légumes > Légumes frais et surgelés > Tomates","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/493.png?v=1783948935,1,"",false,,,,kg,,,active
499-mesclun-salade-jeunes-pousses,Mesclun Salade Jeunes Pousses,"<p>Mélange de jeunes pousses (roquette, épinard, bettes), 100% produit italien.</p>",Vita Verde,,Fruits et Légumes,"epinard, frais, jeunes pousses, legume, mesclun, roquette, salade",true,Title,Default Title,,,,,,,,'499,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/499.png?v=1783948942,1,Mesclun Salade Jeunes Pousses,false,,,,g,,,active
498-laitue-romaine,Laitue Romaine,"<p>Laitue romaine fraîche, en sachet.</p>",Divers,,Fruits et Légumes,"frais, laitue, legume, romaine, salade",true,Title,Default Title,,,,,,,,'498,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/498.png?v=1783948933,1,Laitue Romaine,false,,,,g,,,active
496-piment-rouge,Piment Rouge,"<p>Piments rouges longs, frais.</p>",Divers,,Fruits et Légumes,"epice, frais, legume, piment, rouge",true,Title,Default Title,,,,,,,,'496,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/496.png?v=1783948926,1,Piment Rouge,false,,,,g,,,active
490-laitue-iceberg,Laitue Iceberg,"<p>Laitue iceberg fraîche, feuilles croquantes.</p>",Divers,,Fruits et Légumes,"frais, iceberg, laitue, legume, salade",true,Title,Default Title,,,,,,,,'490,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/490.png?v=1783948936,1,Laitue Iceberg,false,,,,g,,,active
484-courgette-jaune,Courgette Jaune,"<p>Courgettes jaunes fraîches, vendues au poids.</p>",Divers,,Fruits et Légumes,"courgette, frais, jaune, legume",true,Title,Default Title,,,,,,,,'484,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/484.png?v=1783948934,1,Courgette Jaune,false,,,,g,,,active
481-bograin-haricots-blancs,Bograin Haricots Blancs,<p>Haricots blancs en bocal.</p>,Bograin,,Conserves,"bocal, bograin, haricots blancs",true,Title,Default Title,,,,,,,,'481,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/481.png?v=1783944541,1,Bograin Haricots Blancs,false,,,,g,,,active
480-chatar-qatani-pois-chiches,Chatar Qatani Pois Chiches,"<p>Pois chiches cuits en bocal, pure nature.</p>",Chatar,,Conserves,"chatar, pois chiches, qatani",true,Title,Default Title,,,,,,,,'480,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/480.png?v=1783944537,1,Chatar Qatani Pois Chiches,false,,,,g,,,active
479-garrido-extra-pois-chiches,Garrido Extra Pois Chiches,"<p>Pois chiches en bocal, qualité extra.</p>",Garrido,,Conserves,"bocal, garrido, pois chiches",true,Title,Default Title,,,,,,,,'479,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/479.png?v=1783944540,1,Garrido Extra Pois Chiches,false,,,,g,,,active
478-chatar-qatani-haricots-rouges,Chatar Qatani Haricots Rouges,"<p>Haricots rouges cuits en bocal, pure nature.</p>",Chatar,,Conserves,"chatar, haricots rouges, qatani",true,Title,Default Title,,,,,,,,'478,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/478.png?v=1783944539,1,Chatar Qatani Haricots Rouges,false,,,,g,,,active
477-konouz-haricots-rouges,Konouz Haricots Rouges,<p>Haricots rouges en bocal.</p>,Konouz,,Conserves,"bocal, haricots rouges, konouz",true,Title,Default Title,,,,,,,,'477,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/477.png?v=1783944539,1,Konouz Haricots Rouges,false,,,,g,,,active
476-konouz-haricots-geants-bouillis,Konouz Haricots Géants Bouillis,"<p>Haricots géants bouillis en bocal, qualité extra.</p>",Konouz,,Conserves,"bocal, haricots, konouz",true,Title,Default Title,,,,,,,,'476,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/476.png?v=1783944538,1,Konouz Haricots Géants Bouillis,false,,,,g,,,active
475-everyday-petits-pois-tres-fins,Everyday Petits Pois Très Fins,<p>Petits pois extra fins en conserve.</p>,Everyday,,Conserves,"conserve, everyday, petits pois",true,Title,Default Title,,,,,,,,'475,400.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/475.png?v=1783944540,1,Everyday Petits Pois Très Fins,false,,,,g,,,active
474-boni-selection-mais-doux-grand-format,Boni Selection Maïs Doux (grand format),"<p>Maïs doux en grains, conserve grand format.</p>",Boni Selection,,Conserves,"boni, conserve, grand format, mais doux",true,Title,Default Title,,,,,,,,'474,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/474.png?v=1783944547,1,Boni Selection Maïs Doux (grand format),false,,,,g,,,active
473-boni-selection-mais-doux-petit-format,Boni Selection Maïs Doux (petit format),"<p>Maïs doux en grains, conserve petit format.</p>",Boni Selection,,Conserves,"boni, conserve, mais doux",true,Title,Default Title,,,,,,,,'473,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/473.png?v=1783944549,1,Boni Selection Maïs Doux (petit format),false,,,,g,,,active
472-everyday-champignons-de-paris-eminces,Everyday Champignons de Paris Émincés,"<p>Champignons de Paris émincés en conserve, choix hôtel.</p>",Everyday,,Conserves,"champignons, conserve, everyday",true,Title,Default Title,,,,,,,,'472,290.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/472.png?v=1783944539,1,Everyday Champignons de Paris Émincés,false,,,,g,,,active
471-rio-mare-thon-a-l-huile-d-olive-multipack,Rio Mare Thon à l'Huile d'Olive (Multipack),"<p>Thon à l'huile d'olive, qualité premium, pack multi-boîtes.</p>",Rio Mare,,Conserves,"huile d'olive, multipack, rio mare, thon",true,Title,Default Title,,,,,,,,'471,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/471.png?v=1783944536,1,Rio Mare Thon à l'Huile d'Olive (Multipack),false,,,,g,,,active
470-rio-mare-thon-a-l-huile-d-olive-duo,Rio Mare Thon à l'Huile d'Olive (Duo),"<p>Thon à l'huile d'olive, qualité premium, pack de 2 boîtes.</p>",Rio Mare,,Conserves,"huile d'olive, rio mare, thon",true,Title,Default Title,,,,,,,,'470,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/470.png?v=1783944541,1,Rio Mare Thon à l'Huile d'Olive (Duo),false,,,,g,,,active
469-papillon-halva-amande,Papillon Halva Amande,"<p>Halva shamia (pâte de sésame) fourré amande, marque Papillon depuis 1960.</p>",Papillon,,Confiseries,"amande, halva, papillon",true,Title,Default Title,,,,,,,,'469,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/469.png?v=1783944548,1,Papillon Halva Amande,false,,,,g,,,active
468-papillon-halva-nature,Papillon Halva Nature,"<p>Halva shamia (pâte de sésame) nature/vanille, marque Papillon depuis 1960.</p>",Papillon,,Confiseries,"halva, nature, papillon, vanille",true,Title,Default Title,,,,,,,,'468,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/468.png?v=1783944549,1,Papillon Halva Nature,false,,,,g,,,active
467-papillon-halva-pistache,Papillon Halva Pistache,"<p>Halva shamia (pâte de sésame) fourré pistache, marque Papillon depuis 1960.</p>",Papillon,,Confiseries,"halva, papillon, pistache",true,Title,Default Title,,,,,,,,'467,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/467.png?v=1783944549,1,Papillon Halva Pistache,false,,,,g,,,active
466-juliette-food-huile-de-tournesol,Juliette Food Huile de Tournesol,"<p>Huile de tournesol raffinée, grand bidon avec bouchon rouge.</p>",Juliette,,Huiles,"5l, huile, juliette, tournesol",true,Title,Default Title,,,,,,,,'466,5000.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/466.png?v=1783944543,1,Juliette Food Huile de Tournesol,false,,,,g,,,active
465-kent-huile-de-tournesol,Kent Huile de Tournesol,"<p>Huile de tournesol raffinée, bidon avec poignée.</p>",Kent,,Huiles,"huile, kent, tournesol",true,Title,Default Title,,,,,,,,'465,3000.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/465.png?v=1783944541,1,Kent Huile de Tournesol,false,,,,g,,,active
464-juliette-huile-de-tournesol,Juliette Huile de Tournesol,"<p>Huile de tournesol raffinée, bouteille.</p>",Juliette,,Huiles,"huile, juliette, tournesol",true,Title,Default Title,,,,,,,,'464,1000.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/464.png?v=1783944538,1,Juliette Huile de Tournesol,false,,,,g,,,active
463-huile-safia,Huile Safia,"<p>Huile de table végétale, bouteille.</p>",Safia,,Huiles,"huile, safia, vegetale",true,Title,Default Title,,,,,,,,'463,1000.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/463.png?v=1783944538,1,Huile Safia,false,,,,g,,,active
462-petits-pains-individuels-la-nia,Petits Pains Individuels La Nia,<p>Barquette de petits pains/brioches emballés individuellement.</p>,La Nia,,Pâtisseries,"brioches, la nia, petits pains",true,Title,Default Title,,,,,,,,'462,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/462.png?v=1783944550,1,Petits Pains Individuels La Nia,false,,,,g,,,active
461-maruja-original-lait-amandes,Maruja Original Lait & Amandes,"<p>Tablette de chocolat au lait et amandes, recette originale depuis 1917.</p>",Maruja,,Chocolats,"amandes, chocolat, lait, maruja",true,Title,Default Title,,,,,,,,'461,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/461.png?v=1783944535,1,Maruja Original Lait & Amandes,false,,,,g,,,active
460-lay-s-max-sel-poivre-noir,Lay's Max Sel & Poivre Noir,<p>Chips ondulées croustillantes au sel et poivre noir.</p>,Lay's,,Chips,"chips, lay's, poivre noir, sel",true,Title,Default Title,,,,,,,,'460,40.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/460.png?v=1783944547,1,Lay's Max Sel & Poivre Noir,false,,,,g,,,active
459-takis-volcano,Takis Volcano,"<p>Tortillas chips enroulées, saveur fromage et piment fort.</p>",Takis,,Chips,"chips, fromage, piment, takis",true,Title,Default Title,,,,,,,,'459,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/459.png?v=1783944547,1,Takis Volcano,false,,,,g,,,active
458-takis-blue-heat,Takis Blue Heat,"<p>Tortillas chips enroulées et épicées, saveur extrême piquante bleue.</p>",Takis,,Chips,"chips, epice, piquant, takis",true,Title,Default Title,,,,,,,,'458,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/458.png?v=1783944547,1,Takis Blue Heat,false,,,,g,,,active
457-cheetos-sticks-palitos,Cheetos Sticks Palitos,"<p>Bâtonnets soufflés au goût fromage, marque Cheetos.</p>",Cheetos,,Chips,"batonnets, cheetos, chips, fromage",true,Title,Default Title,,,,,,,,'457,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/457.png?v=1783944547,1,Cheetos Sticks Palitos,false,,,,g,,,active
456-cheetos-pelotazos-futebolas,Cheetos Pelotazos Futebolas,"<p>Boules soufflées au goût fromage, en forme de ballon de foot, marque Cheetos.</p>",Cheetos,,Chips,"cheetos, chips, football, fromage",true,Title,Default Title,,,,,,,,'456,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/456.png?v=1783944549,1,Cheetos Pelotazos Futebolas,false,,,,g,,,active
455-cheetos-rizos-rolitos,Cheetos Rizos Rolitos,"<p>Chips soufflées enroulées au goût fromage, marque Cheetos.</p>",Cheetos,,Chips,"cheetos, chips, fromage",true,Title,Default Title,,,,,,,,'455,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/455.png?v=1783944548,1,Cheetos Rizos Rolitos,false,,,,g,,,active
454-boum-bom-bali-bonbon-petillant-mangue-cotton,Boum Bom Bali Bonbon Pétillant Mangue & Cotton,"<p>Bonbon pétillant (popping candy) saveurs mangue et barbe à papa, lot de 12 pochettes, marque Fun Tastee.</p>",Fun Tastee,,Bonbons,"boum bom bali, cotton, mangue, popping candy",true,Title,Default Title,,,,,,,,'454,18.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/454.png?v=1783944549,1,Boum Bom Bali Bonbon Pétillant Mangue & Cotton,false,,,,g,,,active
453-fini-cinema-mix,Fini Cinema Mix,"<p>Assortiment de bonbons gélifiés variés, sans matière grasse et sans gluten.</p>",Fini,,Bonbons,"bonbons, cinema mix, fini",true,Title,Default Title,,,,,,,,'453,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/453.png?v=1783944548,1,Fini Cinema Mix,false,,,,g,,,active
452-fini-holiday,Fini Holiday,"<p>Assortiment de bonbons gélifiés aux fruits (fraises, pommes, cerises).</p>",Fini,,Bonbons,"bonbons, fini, fruits, holiday",true,Title,Default Title,,,,,,,,'452,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/452.png?v=1783944544,1,Fini Holiday,false,,,,g,,,active
451-fini-billes-de-chewing-gum,Fini Billes de Chewing-gum,"<p>Chewing-gums en billes multicolores, sans gluten.</p>",Fini,,Bonbons,"billes, chewing-gum, fini",true,Title,Default Title,,,,,,,,'451,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/451.png?v=1783944547,1,Fini Billes de Chewing-gum,false,,,,g,,,active
450-fini-bonbons-gelifies-bouteilles-cola,Fini Bonbons Gélifiés Bouteilles Cola,"<p>Bonbons gélifiés en forme de bouteilles au goût cola, sans gluten et sans matière grasse.</p>",Fini,,Bonbons,"bonbons, cola, fini",true,Title,Default Title,,,,,,,,'450,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/450.png?v=1783944548,1,Fini Bonbons Gélifiés Bouteilles Cola,false,,,,g,,,active
449-fini-cranes-de-pirate,Fini Crânes de Pirate,"<p>Bonbons gélifiés en forme de crânes de pirate, marque Fini.</p>",Fini,,Bonbons,"bonbons, cranes, fini, pirate",true,Title,Default Title,,,,,,,,'449,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/449.png?v=1783944548,1,Fini Crânes de Pirate,false,,,,g,,,active
448-fini-bonbons-gelifies-requins-variante,Fini Bonbons Gélifiés Requins (variante),"<p>Bonbons gélifiés en forme de requins, variante coloris, marque Fini.</p>",Fini,,Bonbons,"bonbons, fini, requins",true,Title,Default Title,,,,,,,,'448,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/448.png?v=1783944547,1,Fini Bonbons Gélifiés Requins (variante),false,,,,g,,,active
